Entity,Code,Year,Outdoor air pollution,Household air pollution
Pakistan,PAK,2010,115062,120657
Pakistan,PAK,2016,129454,106422
Palestine,PSE,1990,500,96
Palestine,PSE,1995,562,75
Palestine,PSE,2000,714,67
Palestine,PSE,2005,797,53
Palestine,PSE,2006,818,50
Palestine,PSE,2010,970,41
Palestine,PSE,2016,1324,31
Panama,PAN,1990,452,427
Panama,PAN,1995,491,410
Panama,PAN,2000,487,322
Panama,PAN,2005,521,348
Panama,PAN,2006,512,351
Panama,PAN,2010,490,340
Panama,PAN,2016,662,253
Papua New Guinea,PNG,1990,2039,6696
Papua New Guinea,PNG,1995,2230,7064
Papua New Guinea,PNG,2000,2409,7077
Papua New Guinea,PNG,2005,2584,8123
Papua New Guinea,PNG,2006,2612,8400
Papua New Guinea,PNG,2010,2617,9121
Papua New Guinea,PNG,2016,3313,9173
Paraguay,PRY,1990,951,1486
Paraguay,PRY,1995,1140,1523
Paraguay,PRY,2000,1235,1620
Paraguay,PRY,2005,1426,1775
Paraguay,PRY,2006,1433,1787
Paraguay,PRY,2010,1466,1728
Paraguay,PRY,2016,1941,1356
Peru,PER,1990,7839,12062
Peru,PER,1995,7933,9076
Peru,PER,2000,7235,6615
Peru,PER,2005,7992,6774
Peru,PER,2006,7711,6705
Peru,PER,2010,7485,6586
Peru,PER,2016,7608,5421
Philippines,PHL,1990,24483,39837
Philippines,PHL,1995,25700,34284
Philippines,PHL,2000,29404,33618
Philippines,PHL,2005,36396,44491
Philippines,PHL,2006,36996,47237
Philippines,PHL,2010,40473,57141
Philippines,PHL,2016,44676,55926
Poland,POL,1990,41395,12738
Poland,POL,1995,35462,8963
Poland,POL,2000,29088,5867
Poland,POL,2005,27293,4838
Poland,POL,2006,27738,4678
Poland,POL,2010,28446,3948
Poland,POL,2016,26914,3004
Portugal,PRT,1990,4599,2606
Portugal,PRT,1995,4600,1479
Portugal,PRT,2000,4495,941
Portugal,PRT,2005,4315,619
Portugal,PRT,2006,4176,558
Portugal,PRT,2010,3854,390
Portugal,PRT,2016,3841,254
Puerto Rico,PRI,1990,1326,14
Puerto Rico,PRI,1995,1441,11
Puerto Rico,PRI,2000,1544,8
Puerto Rico,PRI,2005,1349,6
Puerto Rico,PRI,2006,1305,6
Puerto Rico,PRI,2010,1220,5
Puerto Rico,PRI,2016,1375,5
Qatar,QAT,1990,112,0
Qatar,QAT,1995,135,0
Qatar,QAT,2000,157,0
Qatar,QAT,2005,170,0
Qatar,QAT,2006,173,0
Qatar,QAT,2010,222,0
Qatar,QAT,2016,296,0
Romania,ROU,1990,25358,19022
Romania,ROU,1995,24518,17268
Romania,ROU,2000,21207,13253
Romania,ROU,2005,18619,10369
Romania,ROU,2006,18399,9611
Romania,ROU,2010,18968,7509
Romania,ROU,2016,17329,5274
Russia,RUS,1990,127426,1300
Russia,RUS,1995,157299,2074
Russia,RUS,2000,152109,3074
Russia,RUS,2005,153845,8544
Russia,RUS,2006,143973,7436
Russia,RUS,2010,134612,4365
Russia,RUS,2016,126497,1819
Rwanda,RWA,1990,5623,9968
Rwanda,RWA,1995,5011,8682
Rwanda,RWA,2000,5760,9872
Rwanda,RWA,2005,4579,8146
Rwanda,RWA,2006,4389,7833
Rwanda,RWA,2010,3625,6526
Rwanda,RWA,2016,3811,6118
Saint Lucia,LCA,1990,43,45
Saint Lucia,LCA,1995,41,27
Saint Lucia,LCA,2000,37,16
Saint Lucia,LCA,2005,38,12
Saint Lucia,LCA,2006,38,11
Saint Lucia,LCA,2010,36,8
Saint Lucia,LCA,2016,44,5
Saint Vincent and the Grenadines,VCT,1990,34,61
Saint Vincent and the Grenadines,VCT,1995,36,55
Saint Vincent and the Grenadines,VCT,2000,35,29
Saint Vincent and the Grenadines,VCT,2005,33,13
Saint Vincent and the Grenadines,VCT,2006,32,12
Saint Vincent and the Grenadines,VCT,2010,30,8
Saint Vincent and the Grenadines,VCT,2016,38,6
Samoa,WSM,1990,10,92
Samoa,WSM,1995,11,90
Samoa,WSM,2000,11,87
Samoa,WSM,2005,12,84
Samoa,WSM,2006,10,83
Samoa,WSM,2010,6,85
Samoa,WSM,2016,10,77
Sao Tome and Principe,STP,1990,45,136
Sao Tome and Principe,STP,1995,46,137
Sao Tome and Principe,STP,2000,49,140
Sao Tome and Principe,STP,2005,47,126
Sao Tome and Principe,STP,2006,45,123
Sao Tome and Principe,STP,2010,40,106
Sao Tome and Principe,STP,2016,43,85
Saudi Arabia,SAU,1990,4871,3709
Saudi Arabia,SAU,1995,5888,3089
Saudi Arabia,SAU,2000,7447,2440
Saudi Arabia,SAU,2005,8111,924
Saudi Arabia,SAU,2006,8359,758
Saudi Arabia,SAU,2010,9348,319
Saudi Arabia,SAU,2016,11323,95
Scotland,,1990,4008,915
Scotland,,1995,3477,481
Scotland,,2000,2912,290
Scotland,,2005,2508,196
Scotland,,2006,2424,181
Scotland,,2010,2194,133
Scotland,,2016,2276,101
Senegal,SEN,1990,3755,6424
Senegal,SEN,1995,4015,6614
Senegal,SEN,2000,4413,6723
Senegal,SEN,2005,4242,7271
Senegal,SEN,2006,4365,7357
Senegal,SEN,2010,4633,7598
Senegal,SEN,2016,6252,7498
Serbia,SRB,1990,6393,6696
Serbia,SRB,1995,7183,7847
Serbia,SRB,2000,7688,7900
Serbia,SRB,2005,6966,6525
Serbia,SRB,2006,6922,6025
Serbia,SRB,2010,6971,4553
Serbia,SRB,2016,6178,4028
Seychelles,SYC,1990,30,9
Seychelles,SYC,1995,32,6
Seychelles,SYC,2000,32,4
Seychelles,SYC,2005,32,3
Seychelles,SYC,2006,31,2
Seychelles,SYC,2010,28,2
Seychelles,SYC,2016,30,1
Sierra Leone,SLE,1990,2503,6285
Sierra Leone,SLE,1995,2129,5333
Sierra Leone,SLE,2000,2008,5045
Sierra Leone,SLE,2005,2030,5469
Sierra Leone,SLE,2006,2098,5537
Sierra Leone,SLE,2010,2318,5637
Sierra Leone,SLE,2016,3084,5526
Singapore,SGP,1990,1068,136
Singapore,SGP,1995,1068,22
Singapore,SGP,2000,1034,5
Singapore,SGP,2005,1321,3
Singapore,SGP,2006,1306,3
Singapore,SGP,2010,1067,2
Singapore,SGP,2016,1399,1
Slovakia,SVK,1990,5576,575
Slovakia,SVK,1995,4600,441
Slovakia,SVK,2000,4135,359
Slovakia,SVK,2005,3987,316
Slovakia,SVK,2006,3981,309
Slovakia,SVK,2010,3812,265
Slovakia,SVK,2016,3674,215
Slovenia,SVN,1990,1280,464
Slovenia,SVN,1995,1177,389
Slovenia,SVN,2000,1034,288
Slovenia,SVN,2005,941,210
Slovenia,SVN,2006,918,195
Slovenia,SVN,2010,869,153
Slovenia,SVN,2016,950,119
Solomon Islands,SLB,1990,59,331
Solomon Islands,SLB,1995,65,353
Solomon Islands,SLB,2000,75,403
Solomon Islands,SLB,2005,106,483
Solomon Islands,SLB,2006,102,502
Solomon Islands,SLB,2010,88,562
Solomon Islands,SLB,2016,144,571
Somalia,SOM,1990,3507,10034
Somalia,SOM,1995,3298,9447
Somalia,SOM,2000,3420,9448
Somalia,SOM,2005,3209,9528
Somalia,SOM,2006,3235,9535
Somalia,SOM,2010,3402,9786
Somalia,SOM,2016,4034,9917
South Africa,ZAF,1990,15269,14406
South Africa,ZAF,1995,16777,13682
South Africa,ZAF,2000,24282,17707
South Africa,ZAF,2005,25274,14924
South Africa,ZAF,2006,25206,14624
South Africa,ZAF,2010,22109,11405
South Africa,ZAF,2016,21575,6934
South Asia,,1990,916845,1230630
South Asia,,1995,973556,1221013
South Asia,,2000,1043666,1219140
South Asia,,2005,1104701,1191503
South Asia,,2006,1121405,1194483
South Asia,,2010,1193879,1170711
South Asia,,2016,1392260,1017532
South Korea,KOR,1990,14716,583
South Korea,KOR,1995,13365,54
South Korea,KOR,2000,13311,11
South Korea,KOR,2005,13067,7
South Korea,KOR,2006,12941,6
South Korea,KOR,2010,13298,4
South Korea,KOR,2016,17616,4
South Sudan,SSD,1990,4735,9638
South Sudan,SSD,1995,4022,8142
South Sudan,SSD,2000,4187,8390
South Sudan,SSD,2005,4154,9231
South Sudan,SSD,2006,4392,9685
South Sudan,SSD,2010,5126,10964
South Sudan,SSD,2016,7016,12596
Southeast Asia,,1990,169225,307535
Southeast Asia,,1995,182853,292949
Southeast Asia,,2000,202146,280478
Southeast Asia,,2005,227187,291639
Southeast Asia,,2006,227133,292113
Southeast Asia,,2010,227210,278805
Southeast Asia,,2016,249469,215165
Southern Sub-Saharan Africa,,1990,20039,23771
Southern Sub-Saharan Africa,,1995,21939,23189
Southern Sub-Saharan Africa,,2000,31646,30114
Southern Sub-Saharan Africa,,2005,33269,28325
Southern Sub-Saharan Africa,,2006,33018,27894
Southern Sub-Saharan Africa,,2010,29487,24474
Southern Sub-Saharan Africa,,2016,29063,17802
Spain,ESP,1990,14236,3270
Spain,ESP,1995,14365,1935
Spain,ESP,2000,14813,1293
Spain,ESP,2005,14717,914
Spain,ESP,2006,14324,840
Spain,ESP,2010,13430,642
Spain,ESP,2016,14168,524
Sri Lanka,LKA,1990,5889,9673
Sri Lanka,LKA,1995,6369,9722
Sri Lanka,LKA,2000,7322,10099
Sri Lanka,LKA,2005,7526,9991
Sri Lanka,LKA,2006,7557,10044
Sri Lanka,LKA,2010,7368,9541
Sri Lanka,LKA,2016,7550,7706
Sub-Saharan Africa,,1990,299130,520647
Sub-Saharan Africa,,1995,319683,548340
Sub-Saharan Africa,,2000,340145,567733
Sub-Saharan Africa,,2005,320122,552774
Sub-Saharan Africa,,2006,321055,553831
Sub-Saharan Africa,,2010,318168,549344
Sub-Saharan Africa,,2016,379830,521595
Sudan,SDN,1990,12826,19803
Sudan,SDN,1995,14957,22463
Sudan,SDN,2000,15521,21762
Sudan,SDN,2005,15849,20779
Sudan,SDN,2006,16047,20639
Sudan,SDN,2010,16428,18737
Sudan,SDN,2016,19219,17609
Suriname,SUR,1990,139,109
Suriname,SUR,1995,150,99
Suriname,SUR,2000,170,94
Suriname,SUR,2005,149,86
Suriname,SUR,2006,147,84
Suriname,SUR,2010,143,80
Suriname,SUR,2016,191,65
Swaziland,SWZ,1990,280,553
Swaziland,SWZ,1995,296,548
Swaziland,SWZ,2000,445,768
Swaziland,SWZ,2005,548,898
Swaziland,SWZ,2006,529,861
Swaziland,SWZ,2010,469,683
Swaziland,SWZ,2016,436,455
Sweden,SWE,1990,3041,406
Sweden,SWE,1995,2582,273
Sweden,SWE,2000,2273,225
Sweden,SWE,2005,1761,198
Sweden,SWE,2006,1729,191
Sweden,SWE,2010,1619,167
Sweden,SWE,2016,1472,155
Switzerland,CHE,1990,3085,192
Switzerland,CHE,1995,2887,166
Switzerland,CHE,2000,2544,149
Switzerland,CHE,2005,2280,130
Switzerland,CHE,2006,2255,126
Switzerland,CHE,2010,2198,105
Switzerland,CHE,2016,2191,79
Syria,SYR,1990,4512,404
Syria,SYR,1995,4921,240
Syria,SYR,2000,5494,141
Syria,SYR,2005,5692,71
Syria,SYR,2006,5868,62
Syria,SYR,2010,6807,37
Syria,SYR,2016,6906,15
Taiwan,TWN,1990,6074,4145
Taiwan,TWN,1995,6788,2948
Taiwan,TWN,2000,7259,1629
Taiwan,TWN,2005,8243,1285
Taiwan,TWN,2006,8335,1243
Taiwan,TWN,2010,9224,1092
Taiwan,TWN,2016,10647,794
Tajikistan,TJK,1990,6097,6655
Tajikistan,TJK,1995,5643,6308
Tajikistan,TJK,2000,5027,5162
Tajikistan,TJK,2005,4282,3573
Tajikistan,TJK,2006,4183,3281
Tajikistan,TJK,2010,4309,2860
Tajikistan,TJK,2016,4746,2802
Tanzania,TZA,1990,12643,35557
Tanzania,TZA,1995,13854,37534
Tanzania,TZA,2000,13673,34683
Tanzania,TZA,2005,13225,34127
Tanzania,TZA,2006,13495,34792
Tanzania,TZA,2010,13645,34323
Tanzania,TZA,2016,14443,33024
Thailand,THA,1990,15842,23952
Thailand,THA,1995,18115,23364
Thailand,THA,2000,20319,19496
Thailand,THA,2005,22998,17771
Thailand,THA,2006,23223,17368
Thailand,THA,2010,22973,13992
Thailand,THA,2016,26696,8648
Timor,TLS,1990,276,807
Timor,TLS,1995,260,721
Timor,TLS,2000,213,561
Timor,TLS,2005,223,565
Timor,TLS,2006,225,567
Timor,TLS,2010,255,621
Timor,TLS,2016,257,596
Togo,TGO,1990,2386,3952
Togo,TGO,1995,2559,4211
Togo,TGO,2000,2700,4404
Togo,TGO,2005,2501,4509
Togo,TGO,2006,2480,4464
Togo,TGO,2010,2564,4580
Togo,TGO,2016,3679,4591
Tonga,TON,1990,8,58
Tonga,TON,1995,9,62
Tonga,TON,2000,9,57
Tonga,TON,2005,9,47
Tonga,TON,2006,8,45
Tonga,TON,2010,5,41
Tonga,TON,2016,5,34
Trinidad and Tobago,TTO,1990,474,20
Trinidad and Tobago,TTO,1995,502,17
Trinidad and Tobago,TTO,2000,502,13
Trinidad and Tobago,TTO,2005,402,9
Trinidad and Tobago,TTO,2006,389,9
Trinidad and Tobago,TTO,2010,359,7
Trinidad and Tobago,TTO,2016,474,6
Tunisia,TUN,1990,3321,1387
Tunisia,TUN,1995,3757,938
Tunisia,TUN,2000,3802,507
Tunisia,TUN,2005,3725,202
Tunisia,TUN,2006,3847,162
Tunisia,TUN,2010,4421,88
Tunisia,TUN,2016,5077,38
Turkey,TUR,1990,26769,15003
Turkey,TUR,1995,27988,10754
Turkey,TUR,2000,25897,6209
Turkey,TUR,2005,21985,3008
Turkey,TUR,2006,21766,2596
Turkey,TUR,2010,23734,1580
Turkey,TUR,2016,28785,773
Turkmenistan,TKM,1990,3456,253
Turkmenistan,TKM,1995,3745,186
Turkmenistan,TKM,2000,3658,116
Turkmenistan,TKM,2005,2767,71
Turkmenistan,TKM,2006,2802,63
Turkmenistan,TKM,2010,2944,40
Turkmenistan,TKM,2016,3206,23
Uganda,UGA,1990,12152,19690
Uganda,UGA,1995,12953,20561
Uganda,UGA,2000,12734,20022
Uganda,UGA,2005,12692,20371
Uganda,UGA,2006,12877,20667
Uganda,UGA,2010,12654,20331
Uganda,UGA,2016,14699,20025
Ukraine,UKR,1990,65027,12253
Ukraine,UKR,1995,74540,13186
Ukraine,UKR,2000,65892,11546
Ukraine,UKR,2005,64905,12145
Ukraine,UKR,2006,62629,10408
Ukraine,UKR,2010,56536,6323
Ukraine,UKR,2016,54348,4786
United Arab Emirates,ARE,1990,497,79
United Arab Emirates,ARE,1995,643,52
United Arab Emirates,ARE,2000,757,38
United Arab Emirates,ARE,2005,927,21
United Arab Emirates,ARE,2006,1030,20
United Arab Emirates,ARE,2010,1835,23
United Arab Emirates,ARE,2016,3224,22
United Kingdom,GBR,1990,41972,6293
United Kingdom,GBR,1995,38469,3130
United Kingdom,GBR,2000,32892,1784
United Kingdom,GBR,2005,27817,1144
United Kingdom,GBR,2006,26841,1047
United Kingdom,GBR,2010,24519,778
United Kingdom,GBR,2016,25572,628
United States,USA,1990,111688,958
United States,USA,1995,113374,899
United States,USA,2000,113950,879
United States,USA,2005,108060,833
United States,USA,2006,103600,819
United States,USA,2010,91491,777
United States,USA,2016,105616,806
United States Virgin Islands,VIR,1990,31,2
United States Virgin Islands,VIR,1995,36,2
United States Virgin Islands,VIR,2000,44,2
United States Virgin Islands,VIR,2005,46,2
United States Virgin Islands,VIR,2006,46,2
United States Virgin Islands,VIR,2010,49,2
United States Virgin Islands,VIR,2016,62,2
Uruguay,URY,1990,1457,250
Uruguay,URY,1995,1475,193
Uruguay,URY,2000,1397,154
Uruguay,URY,2005,1280,166
Uruguay,URY,2006,1260,164
Uruguay,URY,2010,1228,125
Uruguay,URY,2016,1200,88
Uzbekistan,UZB,1990,15407,10773
Uzbekistan,UZB,1995,17951,10669
Uzbekistan,UZB,2000,18668,8565
Uzbekistan,UZB,2005,18875,7773
Uzbekistan,UZB,2006,18743,7382
Uzbekistan,UZB,2010,18529,6056
Uzbekistan,UZB,2016,20480,4863
Vanuatu,VUT,1990,46,174
Vanuatu,VUT,1995,54,198
Vanuatu,VUT,2000,60,213
Vanuatu,VUT,2005,72,233
Vanuatu,VUT,2006,70,237
Vanuatu,VUT,2010,62,257
Vanuatu,VUT,2016,83,277
Venezuela,VEN,1990,5292,717
Venezuela,VEN,1995,5553,623
Venezuela,VEN,2000,6093,442
Venezuela,VEN,2005,6333,335
Venezuela,VEN,2006,6533,324
Venezuela,VEN,2010,6694,262
Venezuela,VEN,2016,8701,199
Vietnam,VNM,1990,28811,55618
Vietnam,VNM,1995,30971,56015
Vietnam,VNM,2000,34100,55768
Vietnam,VNM,2005,38527,53042
Vietnam,VNM,2006,38574,51584
Vietnam,VNM,2010,38872,43410
Vietnam,VNM,2016,41675,33577
Wales,,1990,2127,337
Wales,,1995,1961,168
Wales,,2000,1686,94
Wales,,2005,1413,59
Wales,,2006,1366,54
Wales,,2010,1282,41
Wales,,2016,1321,32
Western Europe,,1990,213932,22877
Western Europe,,1995,196146,13174
Western Europe,,2000,177844,8935
Western Europe,,2005,160318,6561
Western Europe,,2006,157878,6159
Western Europe,,2010,154433,4926
Western Europe,,2016,160741,3941
Western Sub-Saharan Africa,,1990,140175,201053
Western Sub-Saharan Africa,,1995,148424,211453
Western Sub-Saharan Africa,,2000,153465,219064
Western Sub-Saharan Africa,,2005,138294,211598
Western Sub-Saharan Africa,,2006,138762,212459
Western Sub-Saharan Africa,,2010,139100,213132
Western Sub-Saharan Africa,,2016,180996,202789
World,OWID_WRL,1990,3471647,3738921
World,OWID_WRL,1995,3686887,3691511
World,OWID_WRL,2000,3808569,3510479
World,OWID_WRL,2005,3904674,3323102
World,OWID_WRL,2006,3874809,3260728
World,OWID_WRL,2010,3952905,3062664
World,OWID_WRL,2016,4326330,2576361
Yemen,YEM,1990,8302,12043
Yemen,YEM,1995,10399,12985
Yemen,YEM,2000,10420,10421
Yemen,YEM,2005,9316,8283
Yemen,YEM,2006,9359,7967
Yemen,YEM,2010,9987,7751
Yemen,YEM,2016,12708,6760
Zambia,ZMB,1990,5341,10364
Zambia,ZMB,1995,5938,10938
Zambia,ZMB,2000,6408,12255
Zambia,ZMB,2005,6307,12952
Zambia,ZMB,2006,6285,12736
Zambia,ZMB,2010,5731,11353
Zambia,ZMB,2016,5848,10675
Zimbabwe,ZWE,1990,2860,5744
Zimbabwe,ZWE,1995,3015,5693
Zimbabwe,ZWE,2000,4460,7687
Zimbabwe,ZWE,2005,4923,8612
Zimbabwe,ZWE,2006,4829,8627
Zimbabwe,ZWE,2010,4696,8997
Zimbabwe,ZWE,2016,4672,7676